iter	Passed	Remaining
0	2	1824
1	4	1688
2	6	1733
3	8	1728
4	10	1781
5	13	1797
6	15	1794
7	17	1803
8	19	1785
9	22	1817
10	24	1819
11	26	1794
12	28	1808
13	30	1795
14	32	1779
15	34	1762
16	36	1743
17	38	1728
18	40	1721
19	42	1712
20	44	1717
21	46	1722
22	48	1715
23	50	1707
24	52	1700
25	54	1698
26	57	1721
27	59	1718
28	61	1715
29	63	1704
30	65	1696
31	67	1686
32	69	1680
33	71	1671
34	72	1663
35	73	1628
36	75	1625
37	77	1619
38	79	1616
39	81	1610
40	83	1603
41	85	1601
42	87	1599
43	88	1592
44	90	1589
45	93	1591
46	94	1585
47	96	1578
48	98	1574
49	100	1573
50	102	1567
51	102	1544
52	104	1539
53	106	1534
54	108	1537
55	110	1535
56	112	1531
57	114	1531
58	116	1531
59	118	1528
60	120	1524
61	122	1520
62	124	1521
63	126	1516
64	128	1513
65	129	1509
66	131	1504
67	133	1500
68	135	1497
69	137	1493
70	138	1489
71	140	1487
72	142	1483
73	144	1480
74	146	1476
75	147	1473
76	149	1471
77	151	1468
78	153	1464
79	155	1462
80	157	1463
81	159	1460
82	161	1457
83	163	1455
84	165	1453
85	167	1452
86	169	1451
87	171	1450
88	173	1449
89	175	1447
90	177	1446
91	179	1444
92	181	1440
93	182	1437
94	184	1434
95	186	1431
96	188	1432
97	190	1429
98	192	1426
99	194	1424
100	196	1420
101	197	1417
102	199	1413
103	201	1411
104	203	1408
105	205	1408
106	207	1406
107	209	1403
108	210	1400
109	212	1397
110	214	1394
111	216	1392
112	218	1391
113	220	1390
114	222	1389
115	224	1387
116	226	1384
117	228	1382
118	230	1381
119	232	1380
120	234	1378
121	236	1376
122	238	1375
123	239	1372
124	241	1369
125	243	1366
126	245	1363
127	247	1360
128	248	1358
129	250	1355
130	252	1354
131	254	1351
132	256	1348
133	258	1345
134	259	1342
135	261	1339
136	263	1337
137	265	1335
138	266	1332
139	268	1330
140	270	1327
141	272	1324
142	274	1322
143	275	1319
144	277	1317
145	279	1316
146	281	1314
147	283	1313
148	285	1311
149	287	1309
150	289	1306
151	290	1303
152	292	1300
153	294	1297
154	296	1295
155	297	1292
156	299	1290
157	301	1288
158	303	1287
159	305	1284
160	307	1282
161	309	1280
162	311	1278
163	312	1276
164	314	1274
165	317	1274
166	318	1271
167	320	1269
168	322	1266
169	324	1264
170	326	1262
171	327	1259
172	329	1257
173	331	1255
174	333	1253
175	335	1251
176	336	1248
177	338	1246
178	340	1244
179	342	1242
180	344	1240
181	346	1237
182	347	1235
183	350	1234
184	351	1232
185	353	1230
186	355	1228
187	357	1226
188	359	1225
189	361	1223
190	363	1221
191	365	1220
192	367	1217
193	369	1215
194	370	1213
195	372	1211
196	374	1209
197	376	1207
198	378	1205
199	380	1203
200	382	1202
201	384	1199
202	385	1197
203	387	1195
204	389	1192
205	391	1190
206	392	1187
207	394	1185
208	396	1182
209	397	1180
210	399	1177
211	400	1174
212	402	1172
213	404	1169
214	406	1167
215	407	1165
216	409	1163
217	411	1161
218	413	1159
219	415	1156
220	416	1154
221	418	1152
222	420	1149
223	422	1147
224	424	1145
225	425	1143
226	427	1141
227	429	1139
228	431	1138
229	433	1136
230	435	1133
231	436	1131
232	438	1129
233	440	1127
234	442	1125
235	444	1123
236	445	1121
237	447	1119
238	449	1116
239	451	1114
240	452	1112
241	454	1110
242	456	1107
243	458	1105
244	459	1103
245	461	1101
246	463	1099
247	465	1096
248	466	1094
249	468	1092
250	470	1090
251	472	1088
252	473	1086
253	475	1083
254	477	1082
255	479	1080
256	481	1078
257	483	1076
258	484	1074
259	486	1072
260	488	1070
261	490	1068
262	492	1067
263	494	1065
264	496	1063
265	497	1061
266	499	1059
267	501	1058
268	503	1056
269	505	1054
270	507	1052
271	509	1050
272	511	1048
273	513	1046
274	514	1044
275	516	1042
276	518	1040
277	519	1038
278	521	1036
279	523	1033
280	525	1032
281	527	1029
282	528	1027
283	530	1025
284	532	1023
285	533	1021
286	535	1019
287	537	1017
288	539	1015
289	541	1014
290	543	1012
291	545	1010
292	546	1008
293	548	1006
294	550	1004
295	552	1002
296	554	1000
297	556	999
298	558	997
299	560	995
300	562	993
301	564	992
302	565	989
303	567	987
304	569	985
305	571	983
306	573	982
307	574	979
308	576	977
309	578	975
310	580	973
311	581	971
312	583	969
313	585	967
314	587	965
315	588	963
316	590	961
317	592	959
318	593	957
319	595	954
320	597	952
321	599	950
322	600	948
323	602	946
324	604	945
325	606	943
326	608	941
327	609	939
328	611	937
329	613	935
330	615	933
331	617	932
332	619	930
333	621	928
334	623	927
335	625	925
336	627	923
337	629	921
338	630	919
339	632	917
340	634	914
341	635	912
342	637	911
343	639	908
344	641	907
345	642	904
346	644	902
347	646	900
348	648	898
349	649	896
350	651	894
351	653	892
352	655	890
353	656	888
354	658	886
355	660	884
356	662	882
357	663	880
358	665	879
359	667	877
360	670	876
361	671	874
362	673	872
363	675	870
364	677	868
365	679	866
366	680	864
367	682	862
368	685	861
369	687	859
370	689	858
371	691	856
372	693	854
373	694	852
374	696	851
375	698	849
376	700	847
377	702	845
378	704	844
379	706	842
380	708	840
381	710	838
382	711	836
383	713	834
384	715	832
385	717	830
386	718	828
387	720	826
388	722	824
389	724	822
390	725	820
391	727	818
392	729	816
393	731	815
394	733	813
395	735	811
396	737	809
397	739	807
398	740	805
399	742	803
400	744	801
401	746	799
402	747	798
403	750	796
404	752	795
405	754	793
406	756	791
407	758	789
408	759	787
409	761	785
410	763	783
411	765	782
412	767	780
413	768	778
414	770	776
415	772	774
416	774	772
417	775	770
418	777	768
419	779	766
420	781	764
421	783	762
422	784	760
423	786	758
424	788	756
425	790	754
426	791	752
427	793	751
428	795	749
429	797	747
430	799	745
431	801	743
432	803	742
433	805	740
434	806	738
435	808	736
436	810	734
437	812	732
438	814	731
439	816	729
440	818	727
441	820	726
442	822	724
443	824	722
444	826	720
