iter	Passed	Remaining
0	138	138752
1	140	70081
2	141	47187
3	143	35770
4	143	28574
5	146	24328
6	147	20911
7	150	18706
8	150	16586
9	154	15262
10	155	14001
11	157	12977
12	153	11658
13	155	10938
14	156	10305
15	158	9761
16	160	9280
17	161	8836
18	163	8451
19	165	8108
20	170	7967
21	168	7508
22	170	7239
23	172	7003
24	173	6782
25	176	6604
26	177	6405
27	179	6228
28	181	6081
29	183	5930
30	185	5795
31	187	5665
332	197	5789333	199	5673334	201	5563335	204	5469336	205	5353337	207	5243338	208	5145339	211	5064440	212	4980441	215	4924442	217	4847
43	219	4767
44	220	4688445	222	4607446	223	4528447	225	4470448	227	4410449	228	4347550	231	4299551	233	4262552	235	4212553	237	4167554	239	4115555	240	406256	234	3887
57	237	3857
58	240	3833
59	243	3807
60	245	3771
61	247	3737
62	248	3699
63	250	3664
64	252	3635
65	254	3604
66	256	3572
67	258	3537
68	259	3507
69	261	3473
70	263	3444
71	265	3427
72	267	3398
73	269	3375
74	272	3361
75	274	3332
76	276	3315
77	278	3292
78	280	3272
79	282	3250
80	284	3229
81	285	3199
82	288	3184
83	289	3160
84	291	3141
85	295	3135
86	296	3114
87	298	3093
88	300	3071
89	301	3052
90	303	3032
91	306	3025
92	308	3009
93	310	2989
94	311	2969
95	314	2958
96	317	2955
97	318	2932
98	320	2916
99	321	2896
100	324	2888
101	326	2873
102	328	2856
103	329	2837
104	330	2818
105	332	2802
106	334	2789
107	337	2784
108	339	2775
109	340	2758
110	343	2748
111	344	2734
112	347	2723
113	348	2710
114	350	2695
115	352	2682
116	353	2668
117	355	2654
118	357	2647
119	359	2634
120	360	2621
121	362	2608
122	364	2598
123	366	2590
124	369	2586
1125	379	26291126	381	26201127	384	2618128	378	2553
129	380	2545
130	381	2533
131	385	2532
132	386	2520
133	388	2513
134	390	2502
135	394	2503
136	396	2495
137	399	2495
138	402	2495
139	404	2487
140	406	2476
141	408	2466
142	409	2456
143	411	2448
144	413	2440
145	415	2430
146	417	2422
147	419	2413
148	420	2402
149	422	2393
150	424	2385
151	426	2379
152	428	2372
153	430	2364
154	432	2358
155	435	2357
156	437	2349
157	439	2339
158	442	2338
159	443	2329
160	445	2321
161	447	2312
162	449	2306
163	451	2300
164	453	2295
165	455	2287
166	456	2278
167	458	2271
168	460	2262
169	462	2256
170	463	2249
171	466	2247
172	468	2241
173	470	2234
174	472	2227
175	474	2222
176	476	2215
177	478	2207
178	479	2200
179	482	2196
180	484	2192
181	486	2185
182	488	2180
183	490	2175
184	492	2168
185	493	2161
186	495	2155
187	498	2151
188	499	2143
189	500	2135
190	502	2128
191	505	2128
192	507	2120
193	509	2115
194	512	2114
195	514	2110
196	516	2103
197	518	2098
198	519	2092
199	521	2086
200	522	2078
201	525	2077
202	527	2072
203	530	2071
204	533	2069
205	535	2062
206	539	2066
207	541	2062
208	544	2058
209	546	2054
210	547	2047
211	549	2041
212	550	2035
213	552	2029
214	554	2024
215	556	2018
216	557	2012
217	559	2007
218	562	2007
219	564	2002
220	567	1999
221	569	1996
222	571	1989
223	574	1990
224	576	1987
225	579	1985
226	580	1977
227	582	1972
228	584	1966
229	585	1960
230	587	1954
231	588	1948
232	590	1943
233	592	1938
234	594	1936
235	596	1932
236	598	1927
237	600	1923
238	602	1919
239	604	1914
240	606	1909
241	608	1905
242	610	1902
243	612	1898
244	614	1892
245	616	1888
246	617	1883
247	619	1878
248	620	1872
249	622	1867
250	624	1863
251	625	1857
252	628	1854
253	630	1852
254	632	1848
255	634	1843
256	636	1841
257	638	1836
258	640	1831
259	642	1827
260	644	1825
261	647	1823
262	649	1820
263	651	1815
264	652	1810
265	655	1809
266	657	1803
267	659	1800
268	661	1798
269	663	1793
270	666	1791
271	667	1786
272	669	1782
273	671	1779
274	673	1774
275	675	1772
276	677	1769
277	679	1765
278	681	1761
279	683	1757
280	685	1753
281	687	1750
282	690	1748
283	693	1747
284	694	1743
285	697	1740
286	699	1737
287	701	1733
288	702	1728
289	703	1723
290	706	1720
291	708	1718
292	710	1714
293	712	1710
294	714	1706
295	715	1701
296	716	1696
297	718	1693
298	720	1688
299	721	1683
300	724	1682
301	726	1679
302	728	1676
303	730	1671
304	731	1667
305	733	1663
306	734	1658
307	736	1654
308	739	1653
309	741	1649
310	742	1645
311	744	1641
312	746	1638
313	748	1634
314	749	1630
315	753	1630
316	756	1629
317	758	1626
318	760	1623
319	761	1619
320	764	1616
321	765	1612
322	767	1609
323	769	1605
324	771	1602
325	773	1599
326	775	1595
327	776	1591
328	778	1587
329	779	1583
330	782	1581
331	784	1578
332	787	1577
333	789	1575
334	792	1572
335	793	1568
336	795	1565
337	798	1564
338	800	1560
339	801	1556
340	803	1552
341	805	1549
342	806	1545
343	808	1542
344	810	1538
345	812	1534
346	814	1532
347	815	1528
348	817	1524
349	818	1520
350	820	1517
351	822	1514
352	824	1511
353	826	1508
354	827	1504
355	831	1503
356	832	1500
357	834	1496
358	837	1495
359	839	1491
360	841	1489
361	844	1487
362	845	1484
363	847	1480
364	849	1478
365	852	1476
366	853	1472
367	855	1468
368	857	1465
369	858	1461
370	860	1458
371	862	1455
372	863	1451
373	864	1447
374	866	1443
375	868	1441
376	870	1438
3377	880	1448378	873	1431
3379	883	1441380	877	1425
381	879	1422
382	881	1419
383	882	1415
3384	892	1426385	887	1411
386	888	1407
387	890	1404
388	892	1402
389	896	1401
390	897	1397
391	898	1394
392	901	1392
393	903	1389
