iter	RMSE
0	184571.7406
1	181815.2778
2	179346.6287
3	177058.4562
4	174890.7825
5	172095.225
6	169350.4454
7	167256.1169
8	164879.3382
9	162709.7161
10	160677.9321
11	159082.2983
12	157028.3679
13	154312.3672
14	152351.0604
15	150052.0506
16	148627.1692
17	146542.7755
18	144683.3652
19	142729.5058
20	141177.5991
21	139600.2632
22	138378.9087
23	136802.8883
24	135254.9833
25	134072.341
26	132750.1417
27	131572.6591
28	130038.5499
29	128281.5478
30	127246.7576
31	126464.9922
32	124857.4616
33	123728.8111
34	122409.8209
35	120939.6609
36	120071.8347
37	118879.5346
38	117846.8116
39	116744.4496
40	116193.1964
41	115426.2208
42	114411.4646
43	113348.5372
44	112261.5048
45	111475.3377
46	110974.8365
47	110178.0883
48	109360.2106
49	108531.2758
50	108133.5278
51	107529.153
52	107013.5282
53	106694.8108
54	105889.6379
55	105647.7977
56	104417.4678
57	104215.3439
58	103880.3049
59	103194.9141
60	102703.7203
61	101771.7875
62	101496.3686
63	100914.107
64	100348.5496
65	99257.65876
66	98404.79358
67	97941.14402
68	97085.13852
69	96586.10707
70	95979.25451
71	95335.952
72	94717.46071
73	94370.15176
74	93922.09563
75	93571.38937
76	93261.77808
77	93139.55868
78	92583.15563
79	91961.46296
80	91788.7197
81	91311.82975
82	90980.76448
83	90795.86176
84	90214.73515
85	89645.27022
86	89384.93659
87	88696.24531
88	88026.99818
89	87453.01138
90	87225.49361
91	86679.73086
92	86322.95568
93	85767.02735
94	85554.05355
95	85345.27263
96	85200.75458
97	85033.22146
98	84508.34097
99	84065.04107
100	83639.21466
101	83467.47117
102	83113.9132
103	82765.50446
104	82172.74565
105	81734.02969
106	81513.21826
107	81403.37595
108	81247.70245
109	80923.23009
110	80391.33735
111	79751.91289
112	79302.34526
113	78847.20031
114	78678.67708
115	78556.28438
116	78213.29639
117	77652.18984
118	77559.24713
119	77273.98892
120	76886.58887
121	76608.31831
122	76533.82357
123	76229.48489
124	76119.84034
125	75993.9876
126	75736.53413
127	75411.48943
128	75163.74678
129	74794.72177
130	74701.12074
131	74247.86558
132	73932.93963
133	73712.82793
134	73645.79284
135	73518.63934
136	73159.88216
137	72623.62392
138	72571.50409
139	72314.56232
140	72197.24815
141	71802.31367
142	71737.435
143	71292.24972
144	71255.12405
145	71073.8276
146	70998.23953
147	70785.40944
148	70522.86347
149	70279.09172
150	70017.39546
151	69797.09099
152	69477.16566
153	69220.97168
154	69021.54912
155	68727.70034
156	68468.55403
157	68104.77343
158	67959.66876
159	67817.41166
160	67449.32375
161	67374.91305
162	67314.67845
163	67152.08632
164	67106.43356
165	66908.25792
166	66566.95836
167	66505.11648
168	66146.14215
169	65949.3197
170	65803.73345
171	65742.86695
172	65544.61072
173	65335.20787
174	65281.28444
175	65070.36758
176	65005.5702
177	64629.1657
178	64560.18682
179	64358.62343
180	64037.48257
181	63847.43744
182	63722.15911
183	63448.07286
184	63131.87029
185	63094.9988
186	62882.40678
187	62486.81615
188	62431.60789
189	62388.09281
190	62175.2155
191	62134.66821
192	62101.49122
193	62071.04031
194	61774.377
195	61533.25481
196	61476.96697
197	61243.95346
198	60941.31153
199	60743.89687
200	60706.94802
201	60526.74338
202	60482.22105
203	60106.91927
204	59755.0706
205	59523.93701
206	59212.39343
207	59006.55304
208	58961.19434
209	58921.52255
210	58879.50335
211	58527.85726
212	58348.97835
213	58043.08096
214	57825.58397
215	57652.20437
216	57621.49767
217	57574.91471
218	57520.47667
219	57157.17538
220	57102.8397
221	56892.58997
222	56852.75776
223	56570.22991
224	56397.21821
225	56192.14654
226	56154.27504
227	56117.80004
228	56056.04825
229	55737.47259
230	55710.72898
231	55690.05789
232	55593.22655
233	55568.29479
234	55321.68754
235	55294.06685
236	55137.46068
237	54948.69663
238	54678.4079
239	54436.30106
240	54217.0254
241	53951.94547
242	53755.57385
243	53528.71217
244	53340.07125
245	53309.3889
246	53274.82517
247	53082.19382
248	52896.73178
249	52716.91943
250	52607.17391
251	52332.49696
252	52196.32098
253	52032.61504
254	52009.0594
255	51865.82084
256	51834.18917
257	51691.17701
258	51577.1447
259	51414.96993
260	51198.35483
261	50973.05179
262	50837.07682
263	50808.37449
264	50630.41474
265	50532.19183
266	50406.75329
267	50309.95232
268	50243.74948
269	50211.24955
270	50174.20998
271	50007.1896
272	49981.94777
273	49853.93627
274	49720.1446
275	49505.03517
276	49491.04718
277	49379.64756
278	49181.76787
279	49086.31116
280	49007.42475
281	48929.45405
282	48853.06757
283	48787.90391
284	48759.95047
285	48632.25304
286	48616.32911
287	48535.99999
288	48500.67829
289	48421.38846
290	48355.60239
291	48267.53909
292	48233.91052
293	48033.39548
294	47848.78299
295	47649.00187
296	47489.74847
297	47365.795
298	47340.33984
299	47319.9477
300	47229.2791
301	47150.60417
302	47048.78293
303	47004.33473
304	46913.51262
305	46873.29037
306	46801.23508
307	46645.97085
308	46603.07687
309	46554.19783
310	46469.04671
311	46349.25193
312	46295.3408
313	46127.51212
314	46047.07212
315	45855.84631
316	45832.38402
317	45719.17062
318	45600.58598
319	45538.42929
320	45519.58255
321	45333.02789
322	45192.5157
323	45136.98478
324	45067.00029
325	44999.82632
326	44956.26275
327	44935.39141
328	44795.78173
329	44636.84532
330	44504.73548
331	44476.12253
332	44236.99543
333	44120.67139
334	44106.47891
335	44090.31903
336	44075.59007
337	44008.572
338	43935.24474
339	43909.84702
340	43841.77142
341	43760.46284
342	43651.935
343	43636.08196
344	43520.32458
345	43494.42234
346	43475.08686
347	43367.07397
348	43302.35313
349	43288.63482
350	43154.66116
351	43049.9843
352	42902.48766
353	42804.70864
354	42780.0262
355	42686.86751
356	42603.42929
357	42590.48276
358	42403.80295
359	42247.16676
360	42227.64691
361	42200.55655
362	42175.42293
363	42125.85608
364	41921.22177
365	41822.72735
366	41711.80349
367	41612.97553
368	41602.50777
369	41533.6638
370	41479.57201
371	41380.47988
372	41336.8798
373	41273.91586
374	41167.89198
375	41073.29126
376	40955.11131
377	40815.81744
378	40698.80864
379	40598.89227
380	40547.48793
381	40463.61383
382	40373.31378
383	40344.95781
384	40229.33675
385	40142.12541
386	40089.24926
387	39995.03761
388	39837.19296
389	39755.94466
390	39606.51199
391	39566.49133
392	39488.50125
393	39332.86835
394	39316.5636
395	39219.44888
396	39171.46947
397	39110.4489
398	39086.76285
399	38979.78368
400	38966.95402
401	38858.41601
402	38774.65971
403	38758.89458
404	38654.24045
405	38579.37007
406	38524.61235
407	38455.86304
408	38388.53964
409	38318.13646
410	38188.28166
411	38044.65771
412	37928.95386
413	37815.56075
414	37802.65031
415	37792.33565
416	37654.55311
417	37568.38273
418	37425.00548
419	37413.3569
420	37354.94882
421	37275.53607
422	37246.53215
423	37208.1212
424	37173.21419
425	37159.81487
426	37056.50774
427	36961.52687
428	36895.51126
429	36724.78095
430	36667.58229
431	36615.78131
432	36481.57596
433	36371.2433
434	36320.52932
435	36312.60849
436	36260.75642
437	36113.3215
438	36043.03344
439	35920.23896
440	35771.89159
441	35688.27557
442	35646.39132
443	35585.61786
444	35559.99079
445	35455.1261
446	35375.68398
447	35351.21046
448	35266.06789
449	35183.82335
450	35109.90895
451	35039.99936
452	34923.71365
453	34853.87247
454	34776.14915
455	34667.41258
456	34573.27827
457	34490.47721
458	34447.09177
459	34370.84802
460	34354.14596
461	34343.92218
462	34259.95342
463	34189.42427
464	34098.47199
465	33979.86315
466	33907.27296
467	33827.90339
468	33757.04596
469	33678.04735
470	33639.34647
471	33548.93595
472	33435.65569
473	33358.60811
474	33249.27336
475	33180.58637
476	33113.227
477	33083.73854
478	33036.09232
479	32959.23103
480	32850.60486
481	32753.16544
482	32707.07648
483	32587.27816
484	32519.12477
485	32475.56361
486	32405.03866
487	32257.66679
488	32175.78396
489	32091.89464
490	32031.284
491	31973.62095
492	31917.17053
493	31846.33979
494	31741.42204
495	31705.03844
496	31654.32327
497	31597.65357
498	31524.88042
499	31416.63018
500	31373.88186
501	31283.818
502	31196.36241
503	31160.34067
504	31071.56851
505	31019.34338
506	30874.56139
507	30842.9456
508	30740.49708
509	30678.54971
510	30615.26915
511	30488.79902
512	30404.17174
513	30313.07781
514	30225.25749
515	30146.43419
516	30058.93944
517	30050.75158
518	30005.61695
519	29962.39784
520	29885.91256
521	29851.7671
522	29805.22037
523	29741.58773
524	29732.38289
525	29705.91144
526	29655.97308
527	29628.19214
528	29567.75902
529	29497.05146
530	29488.98328
531	29479.78137
532	29397.2561
533	29388.24317
534	29379.88019
535	29323.00431
536	29223.7013
537	29167.85111
538	29074.86376
539	28996.23596
540	28965.86064
541	28912.59522
542	28866.27677
543	28819.75849
544	28755.85638
545	28675.12352
546	28658.01812
547	28579.00409
548	28514.52806
549	28455.75631
550	28390.6742
551	28352.85666
552	28320.94819
553	28248.24196
554	28173.81848
555	28111.08773
556	28070.22583
557	28013.93555
558	27919.675
559	27911.6636
560	27839.59116
561	27765.31153
562	27742.32806
563	27669.99614
564	27630.1706
565	27583.84183
566	27532.45274
567	27465.87861
568	27422.97305
569	27351.91657
570	27307.48741
571	27261.45864
572	27213.15732
573	27185.17492
574	27177.73882
575	27142.96134
576	27099.09336
577	27041.63969
