iter	Passed	Remaining
0	150	150773
1	153	76668
2	144	48010
3	146	36465
4	147	29438
5	150	24946
6	155	22019
7	157	19486
8	161	17791
9	164	16284
10	166	14946
11	168	13836
12	169	12879
13	171	12052
14	172	11341
15	175	10772
16	176	10226117	178	9745118	181	9349119	183	9013220	185	8667221	188	8394
22	190	809623	189	7694
24	190	7437
25	192	7228
26	194	7013
27	196	6811
28	198	6644
29	200	6475
30	202	6321
31	205	6216
32	207	6075
3333	220	6273434	222	61435	212	5702
36	215	5598
37	217	5495
38	220	5423
39	221	5327
40	225	5284
4141	240	5484242	241	5384343	243	5294444	245	5204545	247	5134646	249	5064747	251	4984848	253	4914949	255	4855050	257	4785151	258	47152	249	4451
53	251	4412
54	253	4355
55	256	4332
56	258	4274
57	260	4236
58	262	4192
559	268	421260	267	4116
61	269	4082
62	271	4039
63	273	4003
6464	287	41365	276	3919
66	278	3884
67	281	3854
68	283	3824
6969	297	3957070	299	392771	293	3783772	295	375373	293	3668
774	299	3690775	301	366376	300	3599
77	301	3568
78	303	3540
79	306	3526
80	308	3503
81	310	3475
82	313	3458
8383	327	3568484	329	3558585	332	3538686	334	3508787	336	3488888	339	3473
89	342	3467
90	344	3443
91	347	3430
92	349	3403
93	351	3389494	353	3369595	356	3356
96	358	3336
97	360	3318
98	362	3301
99	364	3280
100	366	3261
101	369	3252
102	372	3240
103	373	3216
104	375	3197
105	378	3190
106	380	3171
107	381	3152
108	384	3139
109	386	3129
110	388	3110
111	391	3101
112	392	3084
113	395	3070
114	397	3056
115	401	3060
116	402	30311117	404	301118	394	2917
119	397	2914
120	399	2899
121	400	2885
122	403	2875
123	405	2865
124	407	2849
125	408	2834
126	410	2820
127	412	2813
128	415	2804
129	416	2790
130	418	2778
131	420	2765
132	422	2752
133	424	2740
134	426	2732
135	429	2725
136	430	2713
137	432	2699
138	433	2686
139	435	2674
140	437	2663
141	439	2653
142	440	2641
143	442	2628
144	445	2627
145	447	2619
146	449	2608
147	451	2600
148	453	2589
149	454	2578
150	457	2572
151	459	2566
152	463	2565
153	465	2556
154	467	2546
155	469	2538
156	470	2526
157	472	2517
158	473	2505
159	475	2496
160	477	2487
161	479	2478
162	481	2471
163	482	2461
164	484	2450
165	485	2441
166	487	2431
167	489	2422
168	491	2417
169	495	2418
170	496	2407
171	499	2403
172	500	2394
173	505	2398
174	507	2391
175	510	2390
176	512	2382
177	514	2374
178	516	2367
179	517	2357
180	519	2349
181	521	2342
182	522	2334
183	525	2328
184	526	2318
185	527	2310
186	529	2302
187	531	2294
188	532	2286
189	535	2281
190	537	2276
191	539	2271
192	542	2266
193	544	2263
194	547	2259
195	549	2253
196	550	2245
197	552	2238
198	554	2232
199	555	2223
200	559	2223
201	561	2216
202	563	2211
203	565	2204
204	566	2197
205	568	2191
206	570	2187
207	572	2181
208	575	2177
209	577	2171
210	580	2169
211	582	2164
212	583	2157
213	585	2151
214	588	2146
215	590	2144
216	592	2137
217	594	2130
218	596	2125
219	597	2119
220	599	2113
221	601	2107
222	603	2102
223	605	2098
224	607	2092
225	609	2085
226	611	2080
227	613	2076
228	615	2071
229	617	2066
230	619	2063
231	621	2058
232	623	2053
233	625	2047
234	627	2043
235	629	2038
236	631	2031
237	633	2027
238	634	2021
239	636	2016
240	645	2032
241	647	2027
242	648	2020
243	650	2015
244	652	2009
245	656	2011
246	657	2005
247	660	2001
248	662	1997
249	664	1993
250	666	1987
251	668	1982
252	669	1977
253	671	1973
254	673	1968
255	675	1964
256	677	1958
257	679	1952
258	680	1948
259	682	1943
260	684	1938
261	686	1934
262	688	1928
263	690	1923
264	691	1918
265	693	1913
266	695	1908
267	696	1903
268	698	1898
269	700	1893
270	703	1893
271	706	1891
272	708	1886
273	712	1887
274	714	1883
275	716	1878
276	717	1873
277	719	1868
278	721	1864
279	722	1858
280	724	1854
281	726	1850
282	728	1846
283	730	1841
284	732	1837
285	734	1834
286	737	1831
287	739	1827
288	741	1823
289	743	1820
290	745	1816
291	747	1811
292	748	1807
293	751	1804
294	753	1800
295	755	1796
296	757	1792
297	758	1787
298	760	1783
299	762	1778
300	763	1773
301	766	1770
302	768	1768
303	770	1765
304	772	1760
305	774	1755
306	775	1751
307	777	1747
308	778	1741
309	781	1738
310	784	1737
311	786	1733
312	788	1730
313	790	1726
314	792	1723
315	794	1719
316	795	1715
317	797	1710
318	799	1706
319	800	1701
320	802	1697
321	803	1692
322	805	1689
323	807	1685
324	809	1681
325	811	1677
326	813	1673
327	815	1670
328	817	1666
329	818	1662
330	821	1659
331	823	1655
332	824	1652
333	827	1649
334	829	1645
335	831	1643
336	833	1640
337	835	1635
338	837	1632
339	839	1628
340	840	1625
341	842	1621
342	844	1617
343	847	1615
344	849	1611
345	850	1607
346	852	1604
347	854	1600
348	856	1596
349	857	1592
350	860	1590
351	862	1588
352	864	1584
353	866	1581
354	869	1580
355	872	1577
356	874	1574
357	876	1570
358	877	1567
359	879	1564
360	881	1560
361	883	1557
362	885	1554
363	887	1551
364	889	1547
365	891	1544
366	892	1540
367	894	1536
368	896	1533
369	898	1529
370	900	1526
371	901	1522
372	904	1519
373	906	1516
374	908	1513
375	910	1511
376	912	1507
377	914	1504
378	915	1500
379	917	1496
380	918	1493
381	920	1488
382	921	1485
383	923	1481
384	926	1479
385	928	1476
386	930	1473
387	932	1471
388	935	1469
389	937	1466
390	940	1464
391	941	1460
392	944	1458
393	946	1455
394	948	1452
395	949	1448
396	951	1445
397	953	1441
398	955	1438
399	956	1435
400	959	1433
401	961	1429
402	962	1426
403	965	1423
404	966	1420
405	968	1416
406	970	1413
407	971	1409
408	973	1406
409	976	1404
410	977	1401
411	980	1399
412	982	1396
413	984	1393
414	986	1390
415	988	1387
416	991	1385
417	993	1382
418	994	1379
419	996	1376
420	998	1373
421	1000	1369
422	1001	1366
423	1003	1363
424	1005	1360
425	1007	1356
426	1009	1354
427	1010	1350
428	1011	1346
429	1013	1343
430	1015	1340
431	1017	1338
432	1019	1334
433	1020	1331
434	1023	1328
435	1024	1325
436	1026	1322
437	1029	1320
438	1030	1317
439	1032	1314
440	1034	1311
441	1037	1309
442	1042	1310
443	1045	1309
444	1047	1305
445	1048	1302
446	1050	1299
447	1052	1296
448	1053	1293
449	1057	1292
450	1059	1289
451	1061	1286
452	1062	1283
453	1065	1281
454	1067	1278
455	1069	1275
456	1071	1273
457	1073	1269
458	1074	1266
459	1076	1263
460	1078	1260
461	1080	1257
462	1081	1254
463	1083	1251
464	1085	1248
465	1087	1246
466	1089	1243
467	1091	1240
468	1092	1237
469	1094	1234
470	1096	1231
471	1097	1228
472	1100	1225
473	1102	1223
474	1104	1220
475	1106	1218
476	1109	1216
477	1111	1213
478	1113	1210
479	1114	1207
480	1116	1205
481	1119	1203
482	1122	1201
483	1124	1198
484	1125	1195
485	1127	1192
486	1129	11904487	1131	11874488	1133	11844489	1136	1183
490	1138	1180
491	1140	1177
492	1142	1174
493	1144	1172
494	1147	1170
495	1149	1168
496	1153	1167
497	1155	1165
498	1157	1162
499	1159	1159
500	1161	1156
501	1163	1154
502	1164	1151
503	1167	1148
504	1169	1146
505	1171	1143
506	1173	1141
507	1175	1138
508	1177	1135
509	1180	1133
510	1184	1133
511	1187	1131
512	1191	1130
513	1194	1129
514	1196	1127
515	1199	1125
516	1201	1122
517	1203	1119
518	1204	1116
519	1207	1114
520	1208	1111
521	1210	1108
522	1212	1106
523	1214	1103
524	1217	1101
525	1219	1098
526	1221	1096
527	1223	1093
528	1225	1091
529	1227	1088
530	1229	1086
531	1232	1084
532	1234	1081
533	1236	1079
534	1239	1077
535	1240	1074
536	1244	1072
537	1245	1069
538	1248	1067
539	1250	1065
540	1252	1062
541	1255	1061
542	1258	1059
543	1260	1056
544	1262	1054
545	1265	1051
546	1267	1049
547	1269	1047
548	1270	1043
549	1272	1041
550	1274	1038
551	1275	1035
552	1277	1032
553	1280	1030
554	1282	1028
555	1285	1026
556	1287	1023
557	1288	1020
558	1290	1018
559	1292	1015
560	1294	1013
561	1296	1010
562	1298	1008
563	1300	1005
564	1302	1002
565	1304	1000
566	1306	997
567	1308	995
568	1311	993
569	1313	991
570	1315	988
571	1317	985
572	1319	983
573	1321	980
574	1323	978
575	1325	975
576	1326	972
577	1328	970
578	1331	968
579	1333	965
580	1335	963
581	1339	961
582	1340	959
583	1342	956
584	1346	954
585	1349	953
586	1351	951
587	1353	948
588	1354	945
589	1356	942
590	1358	939
591	1359	937
592	1362	935
593	1364	932
594	1365	929
595	1367	926
596	1369	924
597	1371	922
598	1373	919
599	1375	916
600	1377	914
601	1379	911
602	1380	909
603	1382	906
